name,brand,language,tags,age_min_months,piece_count,quantity,battery_operated,shareable,materials,keywords,description,link,admin_notes
Butterfly Matching Game,Eeboo,,puzzles,5+,44,1,No,Yes,paper,,"A colorful butterfly matching game that helps children build memory and concentration skills. Players flip over cards to find pairs of beautifully illustrated butterflies. It's a simple, engaging activity that encourages focus, visual recognition, and turn-taking.",,
Cash Register,Melissa & Doug,,learning,3+,,1,No,No,"wood, plastic",, ,,
Chunky ABC Puzzle,Little Tikes,,"learning, puzzles",3+,27,1,No,No,wood,,"Help little ones learn their letters the hands-on way with this colorful chunky wooden alphabet puzzle, perfect for small fingers to grab, lift, and place! Each thick, oversized piece fits snugly into its matching slot, making it a fun and satisfying challenge for toddlers and early learners. It's a classic toy that makes learning the ABCs feel like playtime!",,
Chunky Wooden Jigsaw Puzzle,Lovevery,,baby,1+,4,1,No,Yes,wood,lovevery,A puzzle that's easy to hold—and a challenge to solve. Part of the Companion Lovevery Playkit for ages 22-24 months.,,
Clock,Lakeshore,,learning,5+,1,1,No,Yes,"wood, plastic",,"This learning clock features large, easy-to-read numbers from 1 to 12 with two distinct hands. The movable hands can be manually set to any time, allowing practice of both reading a displayed time and setting the clock to match a written time.",,
Clown puzzle,Simplex,,puzzles,1+,9,1,No,Yes,wood,,8 piece wooden clown puzzle with pegs for easy handling.,,
Color Sorting Quiet Book,,English,learning,2+,,1,No,Yes,"Paper, Plastic",,"This color sorting quiet book is an activity book designed for toddlers, featuring pages organized around different colors for kids to sort and match. Children practice placing colorful objects, shapes, or characters into their corresponding color-coded sections, building color recognition, fine motor skills, and hand-eye coordination through tactile, hands-on play.",,
Community Garden Puzzle,Lovevery,,puzzles,1+,6,1,No,Yes,wood,,"The Community Garden Puzzle is a beautifully designed wooden nature puzzle made for toddlers ages 16–18 months, featuring colorful vegetable-themed pieces that introduce little ones to the world of gardening. With chunky, easy-to-grasp pieces, it's specifically designed to strengthen the pincer grasp — a key developmental milestone that supports fine motor skills and hand-eye coordination. ",,
Compare and Contrast Cards,Fisher-Price,English,"games, learning",,,1,No,Yes,Paper,,"These Compare and Contrast Cards are a set of colorful educational cards featuring characters and familiar objects designed to help toddlers and preschoolers identify similarities and differences. Children are encouraged to look at pairs or groups of images and describe what is the same and what is different, building critical thinking and early language skills.",,
Corn Popper,Fisher-Price,,baby,1+,1,1,No,Yes,plastic,,"The Fisher-Price Corn Popper is a classic push-along toy that delights toddlers with bright colors and lively popping sounds. As little ones walk and push, the colorful balls bounce inside the dome, rewarding movement and encouraging early motor development. Its simple cause-and-effect design keeps children engaged while supporting coordination and active play.",,
Count Your Chickens,Peaceable Kingdom,English,games,3+,,1,No,Yes,Paper,,"Count Your Chickens is an award-winning cooperative counting game designed for 2 to 4 players, where everyone works together to help Mother Hen collect her scattered chicks and return them safely to the coop. Unlike competitive games, all players win or lose as a team, making it an ideal introduction to cooperative play while naturally building counting skills — no reading required. The game has earned recognition for its success in combining early math learning with valuable social development skills.",,
Cranium Junior,Hasbro,English,games,7+,100,1,No,Yes,"paper, plastic",,"Cranium Junior, often called Cranium Cadoo is the outrageously fun game designed especially for kids. With a variety of hilarious activities, the game gets kids thinking, creating, giggling, and grinning as they try to get four tokens in a row to win. Can you sculpt a taco? Act out a hula dancer? Think of a word that means to bounce a basketball and to drip milk from your chin? Which is strongest for its size: an ant, a human, or a chimp? Whether kids love to act, puzzle, sketch, sculpt, or even crack secret codes, Cadoo has something for them. Two or more kids will have a blast playing Cadoo -- even grown-ups will love to play and show what they can do! 2+ players",,
Cubebot,Areaware,,"learning, pretend play",4+,1,1,No,Yes,"wood, string",,"Cubebot is a wooden toy robot inspired by Japanese Shinto Kumi-ki puzzles. Made from wood and elastic, Cubebot can be positioned to hold dozens of poses. When it's time to rest, Cubebot folds back into a perfect cube. A classic toy for all ages that will endure generations of play.",,
Cuentos de aventuras con Peppa Pig,Yoto,Spanish,yoto,3+,1,1,No,Yes,plastic,,"For Peppa and her friends, every day is an adventure! With original music.",,
Cuentos para cada dia con Peppa Pig,Yoto,,yoto,3+,1,1,No,Yes,plastic,,"For Peppa and her friends, every day is an adventure! With original music.",,
Cuentos para escuchar en familia,Yoto,Spanish,yoto,3+,1,1,No,Yes,plastic,,"For Peppa and her friends, every day is an adventure! With original music.",,
Deep Ocean Puzzle,Quokka,,puzzles,3+,30,1,No,Yes,paper,, ,,
Dinosaur Stacking Blocks,,,games,4+,20,1,No,Yes,wood,, ,,
Doll Stroller,,,"active, baby",1+,1,1,No,Yes,,,"A doll stroller is a charming accessory that lets children take their favorite dolls or stuffed animals along for imaginative adventures or simply some extra balance for new walkers. Designed with lightweight frames, easy-grip handles, and smooth-rolling wheels, it's perfect for indoor or outdoor pretend play. It folds for easy storage and feature fun fabrics, making them both practical and delightful for little caregivers.",,
Double Sided Puzzle,Lovevery,,puzzles,2+,8,1,No,Yes,wood,,"1 set of pieces, two puzzles. Part of the Lovevery Helper Kit for ages 25-27 months.",https://lovevery.com/?utm_source=google&utm_medium=cpc&utm_campaign=shopping_us-pmax_core_angler-ai&utm_marketing_tactic=shopping&gclid=CjwKCAjwtcHPBhADEiwAWo3sJgcOYWauRn-ovuArwfqVkN4z3wRxtcz4sUM8met8BK3iV6XMSXURwBoCZfMQAvD_BwE&gad_source=1&gad_campaignid=23032072259&gbraid=0AAAAACnVutsnrCGjc3VsHRauXBs07RC05&gclid=CjwKCAjwtcHPBhADEiwAWo3sJgcOYWauRn-ovuArwfqVkN4z3wRxtcz4sUM8met8BK3iV6XMSXURwBoCZfMQAvD_BwE,
"Draw, Trace & Erase Board",Lovevery,,learning,,,1,No,Yes,"Paper, Wood, Fabric, Plastic",,Freeform draw and trace words on the wipeable board to form the visual and muscle memory needed to write. From the Lovevery Persister Play Kit for ages 55-57 months.,,
Drop & Match Dot Catcher,Lovevery,,learning,2+,26,1,No,Yes,"wood, plastic",,From the Lovevery Helper Play Kit for ages 25-27 months.,,
Farm Playset ,,,pretend play,3m+,14,1,No,Yes,Plastic,,"This Farm Playset includes a musical red barn, tractor, farmer, and animal figurines that store neatly inside the barn for easy cleanup and travel. The figures encourage imaginative play while building animal vocabulary, language skills, and cognitive development in toddlers.",,
Felt Flowers,Lovevery,,pretend play,2+,6,1,No,Yes,"wood, fabric",,"Plant them, pick them, and make a bouquet. Part of the Lovevery Helper Play Kit for ages 25-27 months.",https://lovevery.com/products/the-play-kits-the-helper?srsltid=AfmBOorkXkJczZecYnLmb-PDLfsEbkY_N8vk0SbZeNT23XoWGVzNVYUt,
Firefighter Costume,Melissa & Doug,,pretend play,3+,1,1,No,Yes,fabric,,Sound the sirens and make way for the rescue! This role play outfit is a bright red jacket trimmed with reflective material. The Fire Chief Role Play Set is sized to fit boys and girls ages three to six. The high-quality fabrics and solid construction ensure durability so your kids can wear it over and over again.,https://www.melissaanddoug.com/products/fire-chief-role-play-costume-set?variant=40109117472822&gclsrc=aw.ds&gad_source=1&gad_campaignid=21802289665&gbraid=0AAAAA949c4wsxlDPrgX0OAdKU0OYRh2tJ&gclid=CjwKCAjwhqfPBhBWEiwAZo196kypK19laiXm6rw_mq7Jp3dWMZon4VJKlzlq0ubrw2BTqKLHdtIHWRoCQ5AQAvD_BwE,
First Words Flashcards,,English,learning,1+,22,1,No,Yes,paper,, ,,
Flying Disc Launcher,,,active,3+,9,1,No,Yes,plastic,,"This fun outdoor toy lets kids step down on the launcher to send flying discs soaring into the air for exciting toss-and-catch play. Lightweight and easy to use without batteries, it encourages active play, coordination, and friendly competition in the backyard or park. Perfect for kids of all ages, it turns simple running and catching into high-energy outdoor fun.",,
Ford Mustang Model Car,Showcasts,,vehicles,3+,1,1,No,Yes,"metal, plastic",,"This detailed die-cast model of the 2012 Ford Mustang Boss 302 features a sleek black hardtop design with realistic styling and true-to-scale proportions. Built with a durable metal body and rubber tires, it includes interactive elements like opening doors and hood for added play and display appeal.",,
Forest Friends Block Puzzle (9 pieces),Mudpuppy,,puzzles,1+,9,1,No,Yes,"plastic, paper",,"This 9 piece puzzle is actually 6 puzzles in 1, putting a new spin on the traditional puzzle. The scenes feature a variety of forest creatures.",,
Fruit Fidget Poppers,,,sensory,1+,3,1,No,Yes,plastic,,"Pop, pop, pop your way through a whole fruit bowl with this super fun 3-piece fidget toy set, featuring a cool avocado, a colorful watermelon, and a silly bunch of bananas! Press the bubbly bumps in and out as many times as you want — they always bounce back for more popping fun! Grab all three fruity friends and see how fast your fingers can go!",,
Good Manners Conversation Cards,Eeboo,English,"games, learning",,,1,No,Yes,Paper,,"the Good Manners Conversation Flash Card set is a perfect way to teach little ones about demonstrating good behavior in familiar situations.  Delightfully illustrated with polite pigs, one side of each card asks what approach or response is right for a situation; the reverse offers a good suggestion.",,https://eeboo.com/products/good-manners-flash-cards?googlead&gad_source=1&gad_campaignid=22444482864&gbraid=0AAAAACreuVC6Pp07tzzXca1u8Bj9wnCdz&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefHeirdaigNdycrTkr0BY-bUeohn1ScNx0ZmevWKWUH-hT_6l_XRl3kaAtbAEALw_wcB
Hape Sunny Valley Adventure Dome,Hape,,sensory,2+,1,1,No,Yes,"plastic, wood, magnets",,"Sunny Valley Adventure Dome is an interactive 3D magnetic maze toy that invites little ones to drop magnetic beads through slides and engaging features using Lily the bird's magnetic beak. With fun elements like spiraling paths, a spinning windmill, and a ringing bell under the clear dome, it keeps kids entertained while they explore cause-and-effect play. Designed to support fine motor skills, imaginative storytelling, and cooperative play, it's a charming addition to any playroom.",,
Hotel Flamingo,Yoto,,yoto,5+,1,1,No,Yes,Plastic,,"Welcome to Hotel Flamingo: the sunniest hotel in town! When young Anna inherits a dilapidated once-grand hotel from her great-aunt Mathilde, she's determined to restore it to its former glory. But this is no ordinary hotel - all of her staff and guests are animals! As she soon finds out, though, running an animal hotel is no easy task!",,
Ice Cream Truck & Tow Truck,Fisher-Price,,vehicles,1+,4,1,No,No,plastic,, ,,
Kidscope,,English,learning,5+,63,1,Yes,Yes,plastic,,"Introduce children to a real scientific toy that sparks curiosity and encourages hands-on, interactive learning from an early age with this microscope. With science toys like the Kidscope, kids can start developing an interest in more than one field as young as 3 years old, from biology to astronomy and beyond. Designed with kid-friendly features such as a comfy double eyepiece (no need to close one eye!) low magnification to provide a wide field of view, easy-focus knob, and illuminating LED light

The Kidscope includes 15 slides with 60 real images, storage drawer, build-in LED light, and guide with over 200 facts to support scientific exploration.",,
K'NEX,K'NEX,,building,5+,100,1,No,Yes,plastic,,"K'NEX building sets feature colorful rods, connectors, and moving parts that snap together to create endless structures, vehicles, and machines. The pieces are durable, reusable, and designed for easy assembly, making them ideal for both guided builds and open-ended creativity. K'NEX promotes hands-on learning while delivering hours of engaging, imaginative play.",,
Knight tunic,,,pretend play,,1,1,No,Yes,fabric,,"A knight tunic child costume is a simple, medieval-style garment worn over clothing. Made from soft, comfortable materials, it's designed for easy movement and imaginative play. Perfect for dress-up, it encourages storytelling and role-playing as children become heroic knights on their own adventures.

Fits approximately ages 4-6 years.",,
Lincoln Logs,,,building,3+,100,1,No,Yes,"plastic, wood",,"Lincoln Logs are classic wooden building toys made of notched pieces that fit together to create structures like cabins, houses, and forts. They encourage creativity, problem-solving, and fine motor skill development through hands-on construction. Simple yet timeless, they let kids design and rebuild endlessly using their imagination.",,
Lite Brite,,,sensory,4+,100,1,Yes,Yes,plastic,,"This retro-inspired creative light-up art set lets kids make glowing pictures by placing colorful pegs into the board's grid to form bright designs. Through freeform play, children can explore endless artistic possibilities while enjoying the satisfying illumination of their creations. It's a screen-free way to spark imagination and build fine motor skills through hands-on fun.",,
Mack Dump Truck & Snowplow,Bruder,,vehicles,4+,1,1,Yes,Yes,"metal, plastic",,"This highly detailed construction truck toy features the iconic Mack Granite design with a functional snow plow blade for realistic winter play. Built from durable, high-quality plastic, it includes interactive elements like opening doors, a tilting hood, and a working dump bed for loading and unloading materials.

Note: This truck is rather large, measuring about 21 inches in length.",,
Magnetic Car Set,KiwiCo,,baby,1+,5,1,No,Yes,wood,,"Roll, spin, and play to engage your little one's senses! Practice motor skills with three colorful, linkable magnetic cars designed for little hands to push along. Discover the special features of each car with parts that spin, rattle, and fold open for bonus sensory play, and explore the weather with illustrated coins.",,
Magnetic Tiles,,,building,3+,52,1,No,Yes,"Plastic, Magnet",,"Magnetic tiles are a set of colorful, translucent plastic shapes — squares, triangles, and more — with magnets embedded in every edge, allowing them to effortlessly snap together to form 2D patterns or impressive 3D structures. Children can build everything from simple houses and towers to complex castles and geometric designs, fostering creativity, spatial reasoning, and early STEM thinking through open-ended play. Please note that while younger children may enjoy the magnetic tiles, it is important to keep an eye on young children playing with any toy with magnets. ",,
Manhattan Toy Skwish,,,baby,0m+,1,1,No,Yes,"wood, string",,"The Manhattan Toy Skwish is a timeless wooden baby toy featuring a unique web of rods and sliding beads that captivate little hands and eyes. Its flexible design allows it to squish flat and spring back to shape, encouraging grasping, shaking, and sensory exploration. Lightweight and easy to hold, it supports early motor skill development while providing gentle rattling sounds for added engagement.",,
Marble Run,,,building,3+,100,1,No,Yes,plastic,,"A marble run is a hands-on construction toy that lets kids design and build their own twisting tracks, ramps, and towers for marbles to race through. Bright, durable pieces connect easily, encouraging creativity, problem-solving, and an understanding of basic engineering concepts like gravity and momentum. Each build is unique, offering endless opportunities for experimentation, excitement, and active learning through play.",,
MegaBloks,,,building,1+,90,2,No,Yes,plastic,,"Mega Bloks are large, easy-to-handle building blocks designed especially for little hands. They snap together securely to help toddlers build towers, shapes, and imaginative creations with confidence. Fun and durable, they support creativity, fine motor skills, and early problem-solving through hands-on play.",,
Mini Construction Set,Tender Leaf Toys,,vehicles,3+,5,1,No,Yes,Wood,,"This 5-piece construction truck set includes a crane, excavator, road roller, dump truck, and front loader, giving kids everything they need for hours of imaginative construction site pretend play. As children dig, haul, and build their own truck stories, they develop key skills including fine motor control, creativity, and cognitive and social growth. It's an engaging, hands-on toy that sparks curiosity.",,
Moose Match Mayhem,DolphinHat,,games,7+,93,1,No,Yes,paper,,"The Moose Match Mayhem game is a lively speed-matching game where players race to collect sets of animals before their opponents. Quick rounds and simple rules make it easy to learn, while action cards add unexpected twists that keep everyone on their toes. Perfect for family game night, it combines fast reflexes, friendly competition, and lots of laughs.",,
Motorbike & Sidecar,WOW Toys,N/A,"pretend play, vehicles",1+,4,1,No,Yes,Plastic,https://wowtoys.com/en/motorbike-mason-sidecar?srsltid=afmbooqaylvubfk17oqzgk63jtzpby5f01irlslojabzddf3bsagjp9t,"The Motorbike & Sidecar is a battery-free, push-and-go toy vehicle.The set includes two removable figures plus a pet dog, sparking creative storytelling and imaginative role-play right out of the box.",,
My first 100 words,Yoto,,yoto,0m+,1,1,No,Yes,plastic,,"From to ant to bee, learning languages has never been so much fun. Children can hear the words for their favorite things in five languages: French, German, Spanish, Italian and English. At the same time, an accompanying image is triggered on your Yoto Player’s display to help with learning.",,
My First Opposites Yoto Card,Yoto,,yoto,0m+,1,1,No,Yes,plastic,,"Opposites are one of life's fundamental concepts and this interactive card helps preschoolers get to grips with them. Through a series of interactive questions, complemented by images, your little one will know their 'big' from their 'small', their 'wet' from their 'dry' and their 'happy' from their 'sad' in no time!",,
Number and Math Puzzle,,,"learning, puzzles",2+,24,1,No,Yes,Wood,,"This number puzzle features 23 chunky pieces covering numbers 1 through 20 plus the plus, minus, and equal signs, giving toddlers and early learners a hands-on introduction to both number recognition and basic math concepts. Each piece fits snugly into its matching cutout on the board, helping children practice fine motor skills and hand-eye coordination as they learn to identify numerals and understand foundational arithmetic symbols. It's a smart step-up from basic number puzzles, bridging early counting skills with the building blocks of addition and subtraction in a fun, tactile way.",,
On a Scale of 1 to T-Rex,Exploding Kittens,English,games,7+,100,1,No,Yes,"paper, plastic",,"A card game for people who are bad at charades.

PLAYERS MUST PERFORM RIDICULOUS ACTIONS, BUT THE TWIST IS THAT THEY DON'T NECESSARILY HAVE TO DO IT WELL.

Each player is given an action. Everyone performs their actions at the same time. Your action isn't a secret. Everybody knows what everybody else is doing. The secret is how intensely you perform it on a scale of 1 to 10. You win by guessing the intensity of each others' performances. In the midst of all that roaring, dancing, meowing and yodeling, you must find someone on the same level as you.",https://www.explodingkittens.com/products/on-a-scale-of-one-to-t-rex-original-edition?srsltid=AfmBOorUmHFxguLZKn11cfEATt6Y-WzHjomHPHr-HM3cQStqyZ5OAY3D,
Owl Puzzle,,,puzzles,6+,100,1,No,Yes,paper,,This artistic owl puzzle consists of 300 pieces. The final size of the puzzle is approximately 15 inches x 10 inches.,,
Pattern Blocks,,,learning,3+,100,1,No,Yes,"plastic, paper, wood",,"Pattern blocks are brightly colored geometric pieces designed for hands-on pattern building and design. Children can arrange the shapes to create repeating patterns, pictures, and mosaics. This classic learning tool supports early math concepts, spatial awareness, and creative exploration through structured play.",,
Pattern Match Boats ,Lovevery,,"learning, pretend play",3+,14,1,No,Yes,"Wood, Paper",,Translate 2D pictures into 3D objects—all while having fun! From the Lovevery Analyst Play Kit from months 46-48. ,,
Pickup Sticks,,,games,5+,31,1,No,Yes,wood,,"Pickup Sticks is a classic game of patience and steady hands where players carefully remove sticks from a pile without disturbing the others. Each successful pick earns points based on the stick's color, adding a simple layer of strategy. Easy to learn and engaging for a wide range of ages, it's a great activity for building focus and fine motor skills.",,
Pink Dump Truck,Green Toys,N/A,vehicles,1+,1,1,No,Yes,Plastic,,"This pink dump truck is a classic, kid-powered toy made from 100% recycled plastic milk jugs, making it an eco-friendly choice for environmentally conscious families. It features a functional dumping bed that kids can fill with sand, dirt, or toys and tip to unload, encouraging imaginative outdoor and sensory play. Free from BPA, phthalates, and external coatings, it's built tough enough for outdoor adventures.",,
Pirate Costume,,,pretend play,,1,1,No,Yes,fabric,,"Set sail for adventure with this classic pirate costume, perfect for treasure hunts and high-seas storytelling. Featuring bold details like a striped shirt, rugged vest, and swashbuckling accessories, it brings the spirit of the open ocean to life. Whether for playtime or dress-up occasions, it transforms any child into a daring captain of their own ship. Fits approximately ages 4-6 years.",,
Poppitoppy,B. Toys,,baby,1+,1,1,No,Yes,plastic,,"Poppitoppy is an engaging cause-and-effect toy that comes to life with every press of its top. As children push down, colorful balls pop and bounce inside, creating a fun visual and auditory experience that keeps little ones entertained. Designed for small hands, it helps develop fine motor skills, coordination, and early curiosity through interactive play.",,
Puppet Theater & Fort Covers,Lovevery,,pretend play,3+,,1,No,Yes,"Fabric, Plastic, Wood",,Create a cozy space for your child—or put on a show! From the Lovevery Storyteller Kit for months 40-42,,
Quick Cube,Duncan,,puzzles,6+,1,1,No,Yes,plastic,,"The Quick Cube is a compact and beginner-friendly puzzle designed for fast, smooth solving. Its easy-turning mechanism and corner-cutting design allow for quick movements, making it ideal for learning and improving speed. Durable and low-maintenance, it offers a satisfying hands-on challenge for both kids and adults.",,
Race and Chase Ramp,Lovevery,,"baby, vehicles",1+,3,1,No,Yes,wood,lovevery,Explore motion and direction with our unique side-by-side racing ramp. Part of the Adventurer Play kit for ages 16-18 months.,,
Rainbow Nesting Bowls,Grimm's,,baby,1+,5,1,No,Yes,wood,,"This set of five brightly colored wooden Rainbow Nesting Bowls by Grimm's can be nested or stacked, providing hours of creative play for babies and toddlers.

As children get older, they will have fun filling one with small items, such as beans or gemstones, and emptying them into another bowl. The bowls can also be used for kitchen play.",,
Roly Poly Koala,Tiger Tribe,,baby,0m+,1,1,No,Yes,plastic,,"Koala's rounded, weighted bottom will always spin him back upright for more play. And as he rolls around he makes a lovely tinkling bell sound, for additional sensory stimulation.

Ideal for babies learning to crawl, Koala's wobbling action entices little ones to reach out and push. The repetitive action improves hand-eye coordination and fine motor skills, all the while helping to develop an understanding of cause and effect Koala's ears offer a great grip point for small hands.",,
Routine Cards,Lovevery,,learning,1+,20,1,No,Yes,paper,lovevery,Help visualize your child's routine with the Lovevery routine cards. From the Helper Play Kit for ages 25-27 months.,,
Snap Circuits Jr,Elenco,English,"building, games, learning, sensory",7+,,1,Yes,Yes,,,"Snap Circuits Jr. is a hands-on electronics kit that uses colorful, snap-together components to teach kids the basics of electrical circuits — no wires or tools required. With over 30 snap-on parts and an easy-to-follow instruction guide, children can complete more than 100 experiments involving light, sound, movement, and more, including building their own radios and electronic games. It's an engaging STEM toy that makes learning real-world science and engineering concepts fun, accessible, and safe for younger learners.",,
Songs from the Playground,Yoto,,yoto,0m+,1,1,No,Yes,plastic,,"Jazzy Ash is a celebrated vocalist, writer, arts educator, and founder of Leaping Lizards Music, a music and theater education program for students, preschool through twelfth grade.

In this card, Jazzy Ash is reimagining African American folk songs written and sung by children in playgrounds over the last 100-200 years. Joined by her pianist, she is creating a unique jazz-inflected take on these tunes and creating something that is old, yet new, universal yet unique.

Track Listing:

1.   Yoto Intro
2.   Fly Through My Window
3.   Oats and Beans
4.   Pizza Pizza Daddy-O
5.   Head and Shoulders
6.   Green Grass Grows
7.   Mister Rabbit
8.   Bought Me a Cat
9.   Down, Down Baby
10. My Mama's Calling Me
11. Old Lady Sally
12. C-Line Woman
13. Little Johnny Brown
14. Love Somebody
15. Yoto Outro",,
Spinning Aquarium,Vtech,,baby,0m+,1,1,Yes,Yes,plastic,,"The Spinning Ocean Adventure Aquarium is an interactive toy that brings the underwater world to life for babies and toddlers. With a simple press of the water spout, the aquarium spins, lights up, and plays cheerful music while adorable sea creatures dance and swirl inside, capturing little ones' attention and encouraging cause-and-effect learning. Colorful buttons introduce animals, colors, and numbers, making play both fun and educational.",,
Spirograph,,,art,7+,7,1,No,Yes,Plastic,,"A Spirograph is a classic drawing toy that uses a set of interlocking plastic rings and gears to create intricate, perfectly symmetrical geometric patterns with colored pens or pencils. By placing a pen in one of the small holes of a rotating gear and tracing it around the inside or outside of a larger ring, children and adults alike can produce endlessly varied flower-like and spiral designs. It's a creative tool that blends art with basic math concepts like geometry and symmetry, making it both a fun artistic outlet and a subtle educational experience.",,
Stacking Rainbow,Grimm's,,baby,1+,6,1,No,Yes,wood,,"This rainbow is very versatile - children like to stack and sort, use it as a cradle for dolls, as a tunnel or bridge for their vehicle, or as a fence for their animals. This rainbow is great for small world play.",,
Stacking Trio,Voila,,baby,1+,13,1,No,Yes,wood,,"A stacking toy, composed of three sets of geometric pieces of varying sizes and colors, to be assembled on three flexible rods. Children will learn to differentiate sizes, forms and colors, while creating amusing characters according to their imagination.",https://www.wisekidstoys.com/products/voila-207-geo-trio?srsltid=AfmBOooUfjmebBs3jyFSf0C3SJeopvlEabpi86_kwQrEeAFVd_o7mo9R,
Story Shed Podcast Yoto Card,Yoto,,yoto,5+,1,1,No,Yes,plastic,,"Original and entertaining stories from an experienced teacher who understands what engages children. Yoto's own Jake Harris, primary school teacher and podcaster extraordinaire, creates this gem of a podcast, which updates regularly.",,
Street Sweeper,WOW Toys,,"pretend play, vehicles",1+,2,1,No,Yes,Plastic,,"Tyler the Street Sweeper is a battery-free, push-and-go toy vehicle for children ages 1 to 5, featuring a realistic rotating brush mechanism and mechanical engine sounds that spring to life with just a push. The set includes spinning rubbish sorting panels and a removable driver figure, encouraging imaginative role-play while helping toddlers develop fine motor skills. ",,
Thomas and Friends Puzzle (24 pieces),,,puzzles,3+,24,1,No,Yes,paper,,"This 24-piece Thomas the Tank Engine puzzle features bright, colorful artwork with Thomas and friends that kids will love. Designed for little hands, the sturdy pieces fit together easily while building confidence and problem-solving skills. Perfect for early puzzlers, it encourages focus, patience, and imaginative play.",,
Thomas the Tank Engine Puzzle (24 pieces),,,puzzles,3+,24,1,No,Yes,paper,,"This 24-piece Thomas the Tank Engine puzzle features bright, colorful artwork with Thomas that kids will love. Designed for little hands, the sturdy pieces fit together easily while building confidence and problem-solving skills. Perfect for early puzzlers, it encourages focus, patience, and imaginative play.",,
Tinker Toys,,,building,,100,1,No,Yes,Plastic,,"Tinkertoys are a classic American construction toy introduced in 1914, consisting of spools and rods that snap together to build three-dimensional structures, vehicles, and figures. The spools have holes arranged around their edges and center, allowing rods of varying lengths to connect at multiple angles, giving builders flexibility to create complex designs. They have been a staple childhood toy for over a century, encouraging spatial reasoning, creativity, and basic engineering thinking in children.",,
